r,lambda_1,lambda_2,lambda_3
1.9,-0.00347384805385383,-0.00372251301147631,-0.425717171718816
1.9011011011011,-0.00327146981911396,-0.0035163635345398,-0.426960973076137
1.9022022022022,-0.00306932355090022,-0.00331129673650812,-0.428205922748397
1.9033033033033,-0.00286610570835512,-0.00310597152918974,-0.429451685142257
1.9044044044044,-0.00266145511489414,-0.0029014117038379,-0.430698291223286
1.90550550550551,-0.00245568435931529,-0.00269795039474227,-0.431945844310895
1.90660660660661,-0.00224904292743803,-0.00249500768562604,-0.433193512889081
1.90770770770771,-0.00204164993147148,-0.00229258115698617,-0.434441643624899
1.90880880880881,-0.00183417634613546,-0.00209152906283623,-0.435689785645482
1.90990990990991,-0.00162552224298952,-0.00189125796311501,-0.436937730095931
1.91101101101101,-0.00141627916024147,-0.00169256173066097,-0.43818464847009
1.91211211211211,-0.00120651784123,-0.00149632373769413,-0.43942996350003
1.91321321321321,-0.000996079705349488,-0.00130357215067417,-0.440672853842417
1.91431431431431,-0.000785647812330444,-0.00111653181268993,-0.441910855115259
1.91541541541542,-0.000576086003473058,-0.00093768833814247,-0.443139166133485
1.91651651651652,-0.000372485884661097,-0.000776924853710011,-0.44434365020859
1.91761761761762,-0.000202585136786527,-0.000691670462971164,-0.445439765242504
1.91871871871872,-0.00013016953195511,-0.000930219321260907,-0.446097761421943
1.91981981981982,-0.000109684000896495,-0.00129959125605448,-0.44657473363389
1.92092092092092,-0.000103813238589526,-0.00171100961897334,-0.446980520853855
1.92202202202202,-0.000104962108996984,-0.00210201476646804,-0.447407893934435
1.92312312312312,-0.00011244314964071,-0.00252845334856512,-0.447789166823526
1.92422422422422,-9.79636111839842e-05,-0.00296138297667208,-0.448186762580789
1.92532532532533,-8.81686229731242e-05,-0.00340539310910891,-0.448578721875593
1.92642642642643,-7.37223625775649e-05,-0.00386819781715933,-0.44893314906762
1.92752752752753,-7.25480332259907e-05,-0.00429332689900413,-0.449341829367568
1.92862862862863,-8.4425980062385e-05,-0.00475321863019375,-0.449674209170931
1.92972972972973,-8.89778186457101e-05,-0.00517714565052569,-0.45006912639737
1.93083083083083,-8.62335735240395e-05,-0.00564877594752424,-0.450420739540555
1.93193193193193,-6.63406494479807e-05,-0.00613128481018471,-0.45076342077603
1.93303303303303,-5.86965548102461e-05,-0.00658813678563636,-0.451150543706487
1.93413413413413,-6.58304116229449e-05,-0.00707751315996369,-0.451451763229086
1.93523523523524,-6.84706549525178e-05,-0.00751462595395637,-0.451844802662588
1.93633633633634,-8.63846814438639e-05,-0.00799890919372966,-0.452156771168529
1.93743743743744,-6.52158657722968e-05,-0.0084896415019007,-0.452496717320929
1.93853853853854,-5.81007416599569e-05,-0.00897565816114258,-0.452855083767485
1.93963963963964,-5.24439024028092e-05,-0.00949547820245477,-0.453134115728363
1.94074074074074,-5.53289760242309e-05,-0.00994951948270568,-0.453517863406202
1.94184184184184,-7.7114964399345e-05,-0.0104589254451327,-0.453793731580075
1.94294294294294,-6.41794876444846e-05,-0.0109493333830471,-0.454131338131593
1.94404404404404,-6.01901775997715e-05,-0.0114630390279503,-0.454457019209637
1.94514514514515,-4.70061081107757e-05,-0.012007315309149,-0.454717971535783
1.94624624624625,-4.43136907624129e-05,-0.0124864648749611,-0.455087161496945
1.94734734734735,-6.58509344590231e-05,-0.0130239940523424,-0.455329043484999
1.94844844844845,-6.3569283843469e-05,-0.0135158483242552,-0.455661837710221
1.94954954954955,-6.29369467927426e-05,-0.0140572004038727,-0.455953525261555
1.95065065065065,-4.24421475526069e-05,-0.0146242219346063,-0.456198181879806
1.95175175175175,-3.94788868790595e-05,-0.015129177242471,-0.456546926524294
1.95285285285285,-5.77310657443708e-05,-0.0156961102698314,-0.456756261386936
1.95395395395395,-5.94605658600738e-05,-0.0161981975756847,-0.457081053900847
1.95505505505505,-6.29081173361896e-05,-0.0167661235306336,-0.4573383540323
1.95615615615616,-3.86393593766924e-05,-0.0173555125876005,-0.457566896658125
1.95725725725726,-3.47405841238514e-05,-0.0178874405911814,-0.457891198614897
1.95835835835836,-5.19102834446748e-05,-0.0184845532834932,-0.45806808065472
1.95945945945946,-5.64805362829846e-05,-0.0190025281595563,-0.458380671654085
1.96056056056056,-6.36744272279797e-05,-0.0195972886737841,-0.458603121619657
1.96166166166166,-3.70503693926761e-05,-0.020209732151842,-0.45881266505857
1.96276276276276,-3.17433573496808e-05,-0.0207708564125346,-0.459110317016289
1.96386386386386,-4.72836167983605e-05,-0.021399822415236,-0.459254482702206
1.96496496496496,-5.05502810648799e-05,-0.0219386136119768,-0.459550114415392
1.96606606606607,-6.40102321690797e-05,-0.0225621457355903,-0.459737668513342
1.96716716716717,-3.40528083220293e-05,-0.0232001225227048,-0.459924198431377
1.96826826826827,-3.09556064972744e-05,-0.0237933676938842,-0.460192979277317
1.96936936936937,-4.34480667634932e-05,-0.0244547185732818,-0.460302900517116
1.97047047047047,-4.85238034222418e-05,-0.0250192002157493,-0.460577101168606
1.97157157157157,-6.30962532821081e-05,-0.0256750468784086,-0.460729735031066
1.97267267267267,-3.22997988161762e-05,-0.0263426988968385,-0.460888196048301
1.97377377377377,-2.81330149274563e-05,-0.0269685252164414,-0.461126643218278
1.97487487487487,-4.32753176263152e-05,-0.0276649669026569,-0.461199163509618
1.97597597597598,-4.4935318155084e-05,-0.0282591119105248,-0.461446452359363
1.97707707707708,-6.2362369573572e-05,-0.0289490620483128,-0.461563326332488
1.97817817817818,-2.96730271139616e-05,-0.0296500488219807,-0.461687214552573
1.97927927927928,-2.78503418810083e-05,-0.0303073694780293,-0.461895082528974
1.98038038038038,-4.04325975281743e-05,-0.0310451388066959,-0.461925692870959
1.98148148148148,-4.48774724540018e-05,-0.0316723842330171,-0.462141129870814
1.98258258258258,-5.84817422201423e-05,-0.032402488471883,-0.462220148139505
1.98368368368368,-2.59764258605961e-05,-0.0331435585106638,-0.462303007608559
1.98478478478478,-2.28075358132124e-05,-0.0338382729682305,-0.462475943218903
1.98588588588589,-3.96381540723767e-05,-0.0346134079690601,-0.462463910196882
1.98698698698699,-4.04412597864738e-05,-0.0352820481050044,-0.462639797834902
1.98808808808809,-5.54791501133553e-05,-0.0360547272853306,-0.462680036849389
1.98918918918919,-2.17252053336279e-05,-0.0368423478595449,-0.462713649110782
1.99029029029029,-1.91980786311436e-05,-0.0375775754825075,-0.462849688829686
1.99139139139139,-3.92459744580967e-05,-0.0384006112743202,-0.462788215914255
1.99249249249249,-4.15119975719801e-05,-0.0391115036856458,-0.46291906163969
1.99359359359359,-5.23075658069279e-05,-0.0399344516702475,-0.462916454348878
1.99469469469469,-2.11858438366385e-05,-0.0407729010758988,-0.462892714675239
1.9957957957958,-1.62636668205433e-05,-0.0415530840454173,-0.462988047812289
1.9968968968969,-4.11412792535908e-05,-0.0424316126706023,-0.462871348589579
1.997997997998,-3.59360672739904e-05,-0.0431977635577233,-0.462945766878977
1.9990990990991,-4.66563905793644e-05,-0.0440698078152548,-0.46289993696274
2.0002002002002,-1.89801471090027e-05,-0.0449695159785612,-0.462808368088589
2.0013013013013,-1.56999883409107e-05,-0.0458006541792574,-0.462856291042505
2.0024024024024,-4.00450007942039e-05,-0.0467352169410855,-0.462682262919164
2.0035035035035,-3.44352196737963e-05,-0.0475669215965899,-0.462688925037076
2.0046046046046,-4.20766350608352e-05,-0.0484991221223179,-0.462593371059993
2.00570570570571,-1.90267566538589e-05,-0.0494722285222189,-0.462421008475
2.00680680680681,-1.34389464538607e-05,-0.0503580316394292,-0.462414918384866
2.00790790790791,-4.16035555836579e-05,-0.0513587089143026,-0.462176652766214
2.00900900900901,-2.82948345654765e-05,-0.0522742880815585,-0.462099217666488
2.01011011011011,-3.40223735902717e-05,-0.0532733850615197,-0.461947913354977
2.01121121121121,-1.92758200944119e-05,-0.0543205453437318,-0.461686227836625
2.01231231231231,-1.3086104360022e-05,-0.0552734309411775,-0.461613258958721
2.01341341341341,-4.65696283284239e-05,-0.0563523946673837,-0.461303661858353
2.01451451451451,-2.32521284204401e-05,-0.0573679408586913,-0.461124911896908
2.01561561561562,-2.65094363632709e-05,-0.0584387362332743,-0.460911002826387
2.01671671671672,-2.04914500103168e-05,-0.059584190117791,-0.460542045569784
2.01781781781782,-1.73956039886885e-05,-0.0606140959105788,-0.460387435589591
2.01891891891892,-4.54960004217877e-05,-0.0617832920943297,-0.459996890606071
2.02002002002002,-1.58010804555061e-05,-0.0629159692051621,-0.459697805308082
2.02112112112112,-1.70532922641865e-05,-0.0640787775402185,-0.459405054972026
2.02222222222222,-2.34222026310516e-05,-0.065329812873225,-0.458915037495147
2.02332332332332,-2.30472496958717e-05,-0.0664543810233476,-0.458657750529064
2.02442442442442,-4.87232962177956e-05,-0.0677379551623804,-0.458170724519245
2.02552552552553,-1.04065112955466e-05,-0.0690058388560463,-0.457727878921163
2.02662662662663,-8.08395610180229e-06,-0.0702763443052803,-0.457338221171599
2.02772772772773,-2.70463856280952e-05,-0.0716655726354573,-0.456704175498997
2.02882882882883,-2.78842070978887e-05,-0.072912181466058,-0.456313741698077
2.02992992992993,-4.35783037903612e-05,-0.074327088064716,-0.455714609799956
2.03103103103103,-8.36369525693257e-06,-0.0757590812723535,-0.455096615570478
2.03213213213213,-5.87413938940427e-06,-0.0771658411380166,-0.454579193676368
2.03323323323323,-3.21734917610887e-05,-0.0787135253278734,-0.453784579387407
2.03433433433433,-2.14075413685271e-05,-0.0801341749508033,-0.453212945957057
2.03543543543544,-3.76833191419812e-05,-0.0817120079445909,-0.452471534688898
2.03653653653654,-1.0270461843265e-05,-0.083335969704896,-0.451643112687306
2.03763763763764,-1.54135763851748e-06,-0.0849187584909714,-0.450952889306343
2.03873873873874,-3.52996524757734e-05,-0.0866594844060301,-0.449970637659747
2.03983983983984,-1.4680429985749e-05,-0.0883165375947374,-0.449157036849889
2.04094094094094,-2.27185049992868e-05,-0.0901066542517544,-0.448223915823873
2.04204204204204,-1.34661755488526e-05,-0.0919686919845379,-0.447134866958111
2.04314314314314,-6.99354315759907e-06,-0.0937837216200355,-0.446207239960426
2.04424424424424,-3.80657302839e-05,-0.0957814477699216,-0.444983562358901
2.04534534534535,-5.62553328337331e-06,-0.0977535497612542,-0.443847407829876
2.04644644644645,-1.15427931333378e-05,-0.0998237248676012,-0.442653477011743
2.04754754754755,-1.87661995254424e-05,-0.102015143196696,-0.44121738584673
2.04864864864865,-1.47056905527897e-05,-0.104149959722285,-0.439956598206075
2.04974974974975,-3.99783990591818e-05,-0.106506633503253,-0.438399158237848
2.05085085085085,-3.42251870023297e-06,-0.108890411321727,-0.436836859546773
2.05195195195195,-1.85714001393746e-07,-0.111367848483402,-0.435252950866717
2.05305305305305,-2.30058366071577e-05,-0.114031949432891,-0.433335115598162
2.05415415415415,-1.90821671307299e-05,-0.116635784733093,-0.431590416316551
2.05525525525525,-3.39469285023305e-05,-0.119520505868838,-0.429534694679564
2.05635635635636,-3.68810656664392e-06,-0.122497533557886,-0.427357609468405
2.05745745745746,6.08600771904497e-06,-0.125591980576355,-0.425164142481153
2.05855855855856,-2.68233266163853e-05,-0.128973360074443,-0.42253466810448
2.05965965965966,-9.24464553077259e-06,-0.132353176696772,-0.420003845026484
2.06076076076076,-1.96614537055795e-05,-0.136079385135969,-0.417133559652639
2.06186186186186,-5.89688240348486e-06,-0.140015590482063,-0.413969275856815
2.06296296296296,9.08885065253535e-07,-0.14417623069417,-0.410705931363449
2.06406406406406,-3.15284413646676e-05,-0.148776554959763,-0.406876188102476
2.06516516516517,-1.10932911687821e-06,-0.153591317653547,-0.402897846651165
2.06626626626627,-1.97631929720286e-06,-0.158919963398636,-0.39845028938466
2.06736736736737,-1.3361103097993e-05,-0.1647722231143,-0.393348648283063
2.06846846846847,-1.0450260736686e-05,-0.171180037664305,-0.387819078680242
2.06956956956957,-3.44706982969993e-05,-0.178541880716739,-0.381260309462617
2.07067067067067,6.22105798409374e-06,-0.186828048457114,-0.37379184638228
2.07177177177177,9.70830718204965e-06,-0.196613760289108,-0.364908251043248
2.07287287287287,-1.96477591989843e-05,-0.208564949707273,-0.353700080157674
2.07397397397397,-8.78669579403317e-06,-0.224065993746964,-0.339060064244673
2.07507507507508,-2.71182626044727e-05,-0.248584795205194,-0.315378198211494
2.07617617617618,1.41493975450998e-06,-0.281816672201549,-0.282936522950782
2.07727727727728,8.95162944357542e-06,-0.282278609857339,-0.28338365129254
2.07837837837838,-2.31474642773808e-05,-0.282750026469001,-0.283666803168013
2.07947947947948,1.96406839140813e-06,-0.28320682016428,-0.284057056300649
2.08058058058058,-5.34918702695084e-06,-0.28363262977291,-0.284500476974959
2.08168168168168,-5.50481784685324e-06,-0.283987125881096,-0.284904649921542
2.08278278278278,1.47166308541794e-06,-0.255545713804474,-0.314242694397293
2.08388388388388,-2.91578717602412e-05,-0.227560472179604,-0.343012406259727
2.08498498498499,7.73272765219624e-06,-0.210744145310654,-0.360656878148056
2.08608608608609,9.11693054283506e-06,-0.1981701219917,-0.374129797774151
2.08718718718719,-1.29466893536458e-05,-0.187947587469434,-0.3850930215163
2.08828828828829,-7.2081874383651e-06,-0.179210322034542,-0.394702748554802
2.08938938938939,-2.50866017794497e-05,-0.171719726176144,-0.403017466051653
2.09049049049049,7.33633108834412e-06,-0.164993479003719,-0.410543817403952
2.09159159159159,1.72613650497446e-05,-0.158958139550617,-0.417493763153432
2.09269269269269,-1.82809942846234e-05,-0.153529634759879,-0.423667815565715
2.09379379379379,3.14209173013344e-06,-0.148434668553274,-0.429617651064962
2.09489489489489,-1.13530355876765e-05,-0.14382365067887,-0.43509009285129
2.095995995996,1.80439997470429e-06,-0.139508785961967,-0.440168755125565
2.0970970970971,1.327520637449e-05,-0.135445922221299,-0.445139808672063
2.0981981981982,-2.45647137102118e-05,-0.131742919192559,-0.449615650621744
2.0992992992993,1.14991769716695e-05,-0.128187620139425,-0.454004058440164
2.1004004004004,1.09978248276415e-05,-0.124789029419636,-0.458299533227526
2.1015015015015,-7.91432511715561e-06,-0.12156115958674,-0.462267026851001
2.1026026026026,-5.97328470358122e-07,-0.118414637643176,-0.466295063914818
2.1037037037037,-2.20037324718075e-05,-0.115544911438822,-0.469981441100164
2.1048048048048,1.36849585914952e-05,-0.112745968151679,-0.473584868732171
2.10590590590591,2.1116803425983e-05,-0.110057914782133,-0.477191701665462
2.10700700700701,-1.37265338529611e-05,-0.107550648550991,-0.480439834655148
2.10810810810811,7.15899704217604e-06,-0.105029891532775,-0.483820924262402
2.10920920920921,-7.94920006973454e-06,-0.102685765980902,-0.487022812520442
2.11031031031031,7.88284783035848e-06,-0.100419637063158,-0.490054716264917
2.11141141141141,1.73618016559284e-05,-0.0981789761761559,-0.493210930144473
2.11251251251251,-1.75887305279791e-05,-0.0961141830738569,-0.496044458273583
2.11361361361361,1.78607715026514e-05,-0.0940332340165987,-0.498960233082799
2.11471471471471,1.25528340736137e-05,-0.092039810236462,-0.501852070450633
2.11581581581582,-2.1664585417577e-06,-0.0901470128804495,-0.504482587630721
2.11691691691692,3.70292208476453e-06,-0.0882079548349712,-0.507308539817516
2.11801801801802,-2.10515316796893e-05,-0.0864409113392985,-0.509891142909188
2.11911911911912,1.72003708938533e-05,-0.0846811409826959,-0.512454702020815
2.12022022022022,2.68887543721367e-05,-0.0829438918454016,-0.515115736826822
2.12132132132132,-8.67629257640693e-06,-0.0813281309884468,-0.517470230769747
2.12242242242242,1.20058360399571e-05,-0.0796465563731949,-0.520014481309977
2.12352352352352,-4.9149343204075e-06,-0.0780782116381973,-0.522442236128459
2.12462462462462,9.16119043530598e-06,-0.0765544230993154,-0.524728729104966
2.12572572572573,1.91352394961364e-05,-0.0750017951168773,-0.527202005409757
2.12682682682683,-1.53559101183476e-05,-0.0735854314673771,-0.529387792682651
2.12792792792793,2.06719142044818e-05,-0.0721311246654799,-0.531675628190772
2.12902902902903,1.93244486634362e-05,-0.0707146468815851,-0.533995835413817
2.13013013013013,3.11920467352459e-07,-0.0693815511866642,-0.536063247457139
2.13123123123123,6.11605988101103e-06,-0.0679691033610724,-0.53836416852488
2.13233233233233,-1.66456467626958e-05,-0.0666944581936917,-0.540458592802651
2.13343343343343,2.07779910814762e-05,-0.0654199990705196,-0.542531955388783
2.13453453453453,3.17328624197261e-05,-0.0641310333474259,-0.544751159169079
2.13563563563564,-6.2107698448196e-06,-0.0629486218861432,-0.546672119778441
2.13673673673674,1.72060315273961e-05,-0.0616914927425212,-0.548791360948118
2.13783783783784,1.33447986656372e-06,-0.0605096923609192,-0.550839353853963
2.13893893893894,1.15678280599133e-05,-0.059373188730496,-0.552731229478603
2.14004004004004,2.33417750503403e-05,-0.0581790706112745,-0.554847895856549
2.14114114114114,-1.18384187624745e-05,-0.057107921705625,-0.556693959578423
2.14224224224224,2.73918773644497e-05,-0.0559996879563295,-0.558631021053386
2.14334334334334,2.27616962325389e-05,-0.0549001644817117,-0.560643016096296
2.14444444444444,1.90013928215856e-06,-0.0538824708321336,-0.562390718720237
2.14554554554555,1.43787040954055e-05,-0.052771044288592,-0.564390328536755
2.14664664664665,-1.27331154367224e-05,-0.0517761245257703,-0.566212691535131
2.14774774774775,2.32399116300749e-05,-0.0507869762448638,-0.567992503442791
2.14884884884885,3.69736902508608e-05,-0.0497638077446827,-0.569952301675381
2.14994994994995,-4.76090564543556e-06,-0.0488410367517297,-0.571615800757157
2.15105105105105,2.57707010874598e-05,-0.0478480793172018,-0.57346687249694
2.15215215215215,9.77107564538743e-06,-0.0469012406787592,-0.575290958141638
2.15325325325325,1.27456696294197e-05,-0.0460087861179812,-0.576928945813542
2.15435435435435,2.57013601375139e-05,-0.0450417547164594,-0.578817201193134
2.15545545545546,-1.03249460164864e-05,-0.0441961916502847,-0.580447267685756
2.15655655655656,2.92770310451001e-05,-0.0433253249636717,-0.582139423246673
2.15765765765766,3.16651912752324e-05,-0.0424546029263413,-0.583934121711311
2.15875875875876,5.78193111165169e-06,-0.0417309850750276,-0.585384552769569
2.15985985985986,1.62942849919295e-05,-0.0407295802585954,-0.587270997549601
2.16096096096096,-7.57473222153037e-06,-0.0398661909794701,-0.588972373216948
2.16206206206206,2.41325039458234e-05,-0.0390363317616673,-0.590580980001545
2.16316316316316,3.79218969246179e-05,-0.0381639144203071,-0.592395421794487
2.16426426426426,1.18858690116298e-06,-0.0373923295642012,-0.593913560094971
2.16536536536537,2.85220605461645e-05,-0.0365631476713318,-0.595593521656442
2.16646646646647,1.50630330107217e-05,-0.0357535883892455,-0.597294902529909
2.16756756756757,9.15394193344484e-06,-0.0350071059042622,-0.598776935809721
2.16866866866867,2.45347488382689e-05,-0.03417032029421,-0.600529817057449
2.16976976976977,-9.77075411191225e-06,-0.0334481995079995,-0.602050482694008
2.17087087087087,3.1505867546159e-05,-0.0327065963383331,-0.603602532265129
2.17197197197197,3.87572866947686e-05,-0.0319351198694636,-0.605310692754176
2.17307307307307,6.73999866821336e-06,-0.0312498872372403,-0.60672212114707
2.17417417417417,2.41644184793551e-05,-0.0304756751646901,-0.608376936408503
2.17527527527528,1.00228415851854e-06,-0.0297655278162308,-0.609938374879673
2.17637637637638,2.22739430737909e-05,-0.0290882910903902,-0.611380435322737
2.17747747747748,4.11592370826229e-05,-0.0283461108514441,-0.613067320565766
2.17857857857858,9.67123028190759e-07,-0.0277034173771987,-0.614466127730923
2.17967967967968,3.45519626990823e-05,-0.027011628466967,-0.615998923859622
2.18078078078078,2.69547156028794e-05,-0.0263166419217432,-0.617601907061825
2.18188188188188,1.2779892580964e-05,-0.0256930637757728,-0.61895232318433
2.18298298298298,2.33807602276789e-05,-0.0249687780246142,-0.620586149185347
2.18408408408408,-5.55048714487215e-06,-0.024350560176343,-0.622017880359399
2.18518518518519,3.24204716878194e-05,-0.0237253962561686,-0.623441331005181
2.18628628628629,4.2828868940802e-05,-0.0230571125980379,-0.62505726730375
2.18738738738739,6.57056708417081e-06,-0.0224761963975309,-0.626366303819632
2.18848848848849,3.09652004364582e-05,-0.0218161759252424,-0.627900092869162
2.18958958958959,9.44416291013885e-06,-0.021193398002522,-0.62938919820424
2.19069069069069,2.4097776139421e-05,-0.0206183002167742,-0.630714682857773
2.19179179179179,3.8193087351716e-05,-0.0199641657140914,-0.632312606170356
2.19289289289289,-7.35999624483388e-07,-0.0194118144980372,-0.633633692541807
2.19399399399399,3.68316833100278e-05,-0.0188209100921763,-0.635054861508007
2.1950950950951,3.77245872854955e-05,-0.0182104132738334,-0.636589295331698
2.1961961961962,1.06009517996631e-05,-0.0176773467870255,-0.637843527240224
2.1972972972973,2.59933998496728e-05,-0.017042763548083,-0.639380971241624
2.1983983983984,-1.69426400556095e-06,-0.0164967406603825,-0.640755045780198
2.1994994994995,3.22400803574959e-05,-0.015960145541382,-0.642076397373328
2.2006006006006,5.12445810281469e-05,-0.0153692230958217,-0.643623368906873
2.2017017017017,8.16557256498843e-06,-0.0148666879127433,-0.644859101372763
2.2028028028028,3.84422732299431e-05,-0.0142965957124333,-0.646294627244691
2.2039039039039,1.96259376072482e-05,-0.0137408865512979,-0.647733166504549
2.20500500500501,2.10978604282999e-05,-0.0132445103877157,-0.648966175609897
2.20610610610611,3.48530922691054e-05,-0.0126575789032583,-0.650492783377181
2.20720720720721,1.58108869586557e-06,-0.0121739600329919,-0.651759613559674
2.20830830830831,3.99455338052557e-05,-0.0116620580041207,-0.653090122229624
2.20940940940941,4.21434472025865e-05,-0.0111186544998128,-0.654572605243252
2.21051051051051,1.51109144682903e-05,-0.0106556367382771,-0.655753110156265
2.21161161161161,3.36970615003836e-05,-0.010096196334867,-0.65721099485594
2.21271271271271,5.56487210138559e-06,-0.00960417951234379,-0.658542764640851
2.21381381381381,3.09293071322423e-05,-0.00913731208038699,-0.659781310774003
2.21491491491491,4.56600704621507e-05,-0.0086067247592416,-0.661273723540058
2.21601601601602,4.66599704602092e-06,-0.00816541703704952,-0.662455271688182
2.21711711711712,3.81998117579099e-05,-0.00766713066114001,-0.663809276942666
2.21821821821822,2.0702039590684e-05,-0.00716562890873275,-0.66521015801924
2.21931931931932,1.74159506345444e-05,-0.00673244412621494,-0.666369489872734
2.22042042042042,3.81868517149993e-05,-0.00619976786353216,-0.667836486697301
2.22152152152152,4.91466914619976e-06,-0.00576960690321858,-0.669063949326884
2.22262262262262,4.3574876531047e-05,-0.00532072124143675,-0.670320651323828
2.22372372372372,4.360171365514e-05,-0.00483171151147685,-0.671761772363403
2.22482482482482,1.67103163164709e-05,-0.00442407664560236,-0.672885918682376
2.22592592592593,2.67786329204492e-05,-0.00393024562483935,-0.674273380707392
2.22702702702703,1.03813951387716e-05,-0.00347978921681431,-0.675574603869667
2.22812812812813,3.16888533389579e-05,-0.00306969229821382,-0.67674448507277
2.22922922922923,5.27372674897478e-05,-0.00258723236912495,-0.678193272284442
2.23033033033033,1.05135916783273e-05,-0.00219591918563848,-0.679332720487226
2.23143143143143,4.85667249985564e-05,-0.00175665956709108,-0.680619212014888
2.23253253253253,3.52294992845254e-05,-0.00130265458063152,-0.681987288931934
2.23363363363363,1.97248523063099e-05,-0.000922776135641384,-0.683088270885394
2.23473473473473,4.49473795089415e-05,-0.000446213904040088,-0.684500220720563
2.23583583583584,5.81919547722921e-05,-0.00023507408200693,-0.68558032449304
2.23693693693694,9.20436417729847e-05,-0.000946585699062207,-0.685695243911019
2.23803803803804,0.000116189964747161,-0.00173472022302067,-0.685780006437406
2.23913913913914,0.000141676455101749,-0.00256873882318122,-0.685885619757412
2.24024024024024,0.000158820542840845,-0.00339969072806862,-0.686003027589051
2.24134134134134,0.00016527883664627,-0.00429944391957223,-0.685998588363922
2.24244244244244,0.000173332779393973,-0.00520069106747884,-0.685927225659709
2.24354354354354,0.000314083725045224,-0.00589839245285146,-0.686150787879671
2.24464464464464,0.000195609905394104,-0.00723052358073535,-0.685582954628117
2.24574574574575,0.000162182005282935,-0.00837386435027636,-0.685338040239444
2.24684684684685,0.00014662803507,-0.00949805227525478,-0.685126152336648
2.24794794794795,0.000133023333135904,-0.0107054632651887,-0.684795305519546
2.24904904904905,7.38035663366787e-05,-0.0119473245408362,-0.68434153011817
2.25015015015015,8.53068002229701e-05,-0.0132639045851764,-0.683833149583404
2.25125125125125,7.31689595371616e-05,-0.0145710770373134,-0.683350162563469
2.25235235235235,8.04532370650053e-05,-0.0159263052446722,-0.682894515241158
2.25345345345345,5.52733923742199e-05,-0.0173335999634697,-0.682405513373248
2.25455455455455,5.1625741082455e-05,-0.0188811969043069,-0.681744886830964
2.25565565565566,8.62943609137961e-06,-0.0204988734380381,-0.680930831592705
2.25675675675676,2.13693314452675e-05,-0.0222327568398472,-0.680032456614014
2.25785785785786,5.40660143712657e-05,-0.0240281969575543,-0.679147430379615
2.25895895895896,4.30961819786162e-05,-0.0259298497507077,-0.67818751995679
2.26006006006006,6.20878126910495e-05,-0.0279863083076787,-0.677068183975739
2.26116116116116,-2.10043261011755e-06,-0.030198585831544,-0.675647878241299
2.26226226226226,7.33405431957375e-06,-0.0326254428620707,-0.674025200204002
2.26336336336336,6.9625593488581e-06,-0.0351692213656814,-0.67230180856648
